"field","journal","year","n_graphs","n_bar_cont","n_informative","policy","policy_year","log_offset","year_centered"
"cardiac & cardiovascular systems","annals of thoracic surgery",2010,442,55,27,0,0,1.48613969608961,-7.99493510604611
"cardiac & cardiovascular systems","annals of thoracic surgery",2011,467,68,50,0,0,1.54115907168081,-6.99493510604611
"cardiac & cardiovascular systems","annals of thoracic surgery",2012,456,46,48,0,0,1.51732262352629,-5.99493510604611
"cardiac & cardiovascular systems","annals of thoracic surgery",2013,478,60,51,0,0,1.56444054650336,-4.99493510604611
"cardiac & cardiovascular systems","annals of thoracic surgery",2014,465,58,48,0,0,1.53686721959926,-3.99493510604611
"cardiac & cardiovascular systems","annals of thoracic surgery",2015,462,62,67,0,0,1.53039470509365,-2.99493510604611
"cardiac & cardiovascular systems","annals of thoracic surgery",2016,461,64,60,0,0,1.52822785700856,-1.99493510604611
"cardiac & cardiovascular systems","annals of thoracic surgery",2017,472,43,73,0,0,1.55180879959746,-0.994935106046114
"cardiac & cardiovascular systems","annals of thoracic surgery",2018,458,43,67,0,0,1.52169899812609,0.00506489395388598
"cardiac & cardiovascular systems","annals of thoracic surgery",2019,422,52,56,0,0,1.43983512804792,1.00506489395389
"cardiac & cardiovascular systems","annals of thoracic surgery",2020,444,29,70,0,0,1.49065437644413,2.00506489395389
"cardiac & cardiovascular systems","annals of thoracic surgery",2021,448,33,72,0,0,1.49962304642689,3.00506489395389
"cardiac & cardiovascular systems","annals of thoracic surgery",2022,367,9,20,0,0,1.30019166206648,4.00506489395389
"cardiac & cardiovascular systems","annals of thoracic surgery",2023,278,12,46,0,0,1.02245092770255,5.00506489395389
"cardiac & cardiovascular systems","annals of thoracic surgery",2024,209,11,35,0,0,0.73716406597672,6.00506489395389
"cardiac & cardiovascular systems","annals of thoracic surgery",2025,218,14,40,0,0,0.779324876800998,7.00506489395389
"cardiac & cardiovascular systems","annals of thoracic surgery",2026,11,0,1,0,0,-2.20727491318972,8.00506489395389
"cardiac & cardiovascular systems","atherosclerosis",2010,496,229,85,0,0,1.60140574073684,-7.99493510604611
"cardiac & cardiovascular systems","atherosclerosis",2011,406,194,79,0,0,1.40118297361364,-6.99493510604611
"cardiac & cardiovascular systems","atherosclerosis",2012,380,178,87,0,0,1.33500106673234,-5.99493510604611
"cardiac & cardiovascular systems","atherosclerosis",2013,312,134,54,0,0,1.13783300182139,-4.99493510604611
"cardiac & cardiovascular systems","atherosclerosis",2014,394,179,86,0,0,1.37118072330984,-3.99493510604611
"cardiac & cardiovascular systems","atherosclerosis",2015,399,146,78,0,0,1.38379123090177,-2.99493510604611
"cardiac & cardiovascular systems","atherosclerosis",2016,357,148,81,0,0,1.27256559579155,-1.99493510604611
"cardiac & cardiovascular systems","atherosclerosis",2017,277,98,65,0,0,1.01884732019925,-0.994935106046114
"cardiac & cardiovascular systems","atherosclerosis",2018,347,109,80,0,0,1.24415459395877,0.00506489395388598
"cardiac & cardiovascular systems","atherosclerosis",2019,234,82,74,0,0,0.85015092936961,1.00506489395389
"cardiac & cardiovascular systems","atherosclerosis",2020,227,57,65,0,0,0.819779831493311,2.00506489395389
"cardiac & cardiovascular systems","atherosclerosis",2021,202,39,56,0,0,0.703097511413113,3.00506489395389
"cardiac & cardiovascular systems","atherosclerosis",2022,174,30,59,0,0,0.553885113226438,4.00506489395389
"cardiac & cardiovascular systems","atherosclerosis",2023,149,38,55,0,0,0.398776119957368,5.00506489395389
"cardiac & cardiovascular systems","atherosclerosis",2024,165,36,75,0,0,0.500775287912489,6.00506489395389
"cardiac & cardiovascular systems","atherosclerosis",2025,188,38,90,0,0,0.631271776841858,7.00506489395389
"cardiac & cardiovascular systems","basic research in cardiology",2010,70,63,15,0,0,-0.356674943938732,-7.99493510604611
"cardiac & cardiovascular systems","basic research in cardiology",2011,97,87,20,0,0,-0.0304592074847086,-6.99493510604611
"cardiac & cardiovascular systems","basic research in cardiology",2012,67,60,20,0,0,-0.400477566597125,-5.99493510604611
"cardiac & cardiovascular systems","basic research in cardiology",2013,68,63,16,0,0,-0.385662480811985,-4.99493510604611
"cardiac & cardiovascular systems","basic research in cardiology",2014,48,43,16,0,0,-0.7339691750802,-3.99493510604611
"cardiac & cardiovascular systems","basic research in cardiology",2015,54,50,18,0,0,-0.616186139423817,-2.99493510604611
"cardiac & cardiovascular systems","basic research in cardiology",2016,53,51,20,0,0,-0.63487827243597,-1.99493510604611
"cardiac & cardiovascular systems","basic research in cardiology",2017,57,50,19,0,0,-0.562118918153541,-0.994935106046114
"cardiac & cardiovascular systems","basic research in cardiology",2018,28,21,15,0,0,-1.27296567581289,0.00506489395388598
"cardiac & cardiovascular systems","basic research in cardiology",2019,40,29,27,0,0,-0.916290731874155,1.00506489395389
"cardiac & cardiovascular systems","basic research in cardiology",2020,55,35,41,0,0,-0.59783700075562,2.00506489395389
"cardiac & cardiovascular systems","basic research in cardiology",2021,48,21,39,0,0,-0.7339691750802,3.00506489395389
"cardiac & cardiovascular systems","basic research in cardiology",2022,47,25,41,0,0,-0.755022584278033,4.00506489395389
"cardiac & cardiovascular systems","basic research in cardiology",2023,35,14,30,0,0,-1.04982212449868,5.00506489395389
"cardiac & cardiovascular systems","basic research in cardiology",2024,45,11,42,0,0,-0.798507696217772,6.00506489395389
"cardiac & cardiovascular systems","basic research in cardiology",2025,50,10,47,0,0,-0.693147180559945,7.00506489395389
