"field","journal","year","n_graphs","n_bar_cont","n_informative","n_bar_or_informative","policy","policy_year","log_offset","year_centered"
"cardiac & cardiovascular systems","annals of thoracic surgery",2010,442,55,27,79,0,0,1.48613969608961,-7.7887633396108
"cardiac & cardiovascular systems","annals of thoracic surgery",2011,467,68,50,114,0,0,1.54115907168081,-6.7887633396108
"cardiac & cardiovascular systems","annals of thoracic surgery",2012,456,46,48,87,0,0,1.51732262352629,-5.7887633396108
"cardiac & cardiovascular systems","annals of thoracic surgery",2013,478,60,51,104,0,0,1.56444054650336,-4.7887633396108
"cardiac & cardiovascular systems","annals of thoracic surgery",2014,465,58,48,97,0,0,1.53686721959926,-3.7887633396108
"cardiac & cardiovascular systems","annals of thoracic surgery",2015,462,62,67,120,0,0,1.53039470509365,-2.7887633396108
"cardiac & cardiovascular systems","annals of thoracic surgery",2016,461,64,60,118,0,0,1.52822785700856,-1.7887633396108
"cardiac & cardiovascular systems","annals of thoracic surgery",2017,472,43,73,112,0,0,1.55180879959746,-0.788763339610796
"cardiac & cardiovascular systems","annals of thoracic surgery",2018,458,43,67,101,0,0,1.52169899812609,0.211236660389204
"cardiac & cardiovascular systems","annals of thoracic surgery",2019,422,52,56,98,0,0,1.43983512804792,1.2112366603892
"cardiac & cardiovascular systems","annals of thoracic surgery",2020,444,29,70,95,0,0,1.49065437644413,2.2112366603892
"cardiac & cardiovascular systems","annals of thoracic surgery",2021,448,33,72,96,0,0,1.49962304642689,3.2112366603892
"cardiac & cardiovascular systems","annals of thoracic surgery",2022,367,9,20,27,0,0,1.30019166206648,4.2112366603892
"cardiac & cardiovascular systems","annals of thoracic surgery",2023,278,12,46,56,0,0,1.02245092770255,5.2112366603892
"cardiac & cardiovascular systems","annals of thoracic surgery",2024,209,11,35,43,0,0,0.73716406597672,6.2112366603892
"cardiac & cardiovascular systems","annals of thoracic surgery",2025,218,14,40,47,0,0,0.779324876800998,7.2112366603892
"cardiac & cardiovascular systems","atherosclerosis",2010,496,229,85,278,0,0,1.60140574073684,-7.7887633396108
"cardiac & cardiovascular systems","atherosclerosis",2011,406,194,79,231,0,0,1.40118297361364,-6.7887633396108
"cardiac & cardiovascular systems","atherosclerosis",2012,380,178,87,220,0,0,1.33500106673234,-5.7887633396108
"cardiac & cardiovascular systems","atherosclerosis",2013,312,134,54,171,0,0,1.13783300182139,-4.7887633396108
"cardiac & cardiovascular systems","atherosclerosis",2014,394,179,86,226,0,0,1.37118072330984,-3.7887633396108
"cardiac & cardiovascular systems","atherosclerosis",2015,399,146,78,195,0,0,1.38379123090177,-2.7887633396108
"cardiac & cardiovascular systems","atherosclerosis",2016,357,148,81,195,0,0,1.27256559579155,-1.7887633396108
"cardiac & cardiovascular systems","atherosclerosis",2017,277,98,65,142,0,0,1.01884732019925,-0.788763339610796
"cardiac & cardiovascular systems","atherosclerosis",2018,347,109,80,152,0,0,1.24415459395877,0.211236660389204
"cardiac & cardiovascular systems","atherosclerosis",2019,234,82,74,115,0,0,0.85015092936961,1.2112366603892
"cardiac & cardiovascular systems","atherosclerosis",2020,227,57,65,105,0,0,0.819779831493311,2.2112366603892
"cardiac & cardiovascular systems","atherosclerosis",2021,202,39,56,79,0,0,0.703097511413113,3.2112366603892
"cardiac & cardiovascular systems","atherosclerosis",2022,174,30,59,77,0,0,0.553885113226438,4.2112366603892
"cardiac & cardiovascular systems","atherosclerosis",2023,149,38,55,75,0,0,0.398776119957368,5.2112366603892
"cardiac & cardiovascular systems","atherosclerosis",2024,165,36,75,89,0,0,0.500775287912489,6.2112366603892
"cardiac & cardiovascular systems","atherosclerosis",2025,188,38,90,109,0,0,0.631271776841858,7.2112366603892
"cardiac & cardiovascular systems","basic research in cardiology",2010,70,63,15,65,0,0,-0.356674943938732,-7.7887633396108
"cardiac & cardiovascular systems","basic research in cardiology",2011,97,87,20,92,0,0,-0.0304592074847086,-6.7887633396108
"cardiac & cardiovascular systems","basic research in cardiology",2012,67,60,20,63,0,0,-0.400477566597125,-5.7887633396108
"cardiac & cardiovascular systems","basic research in cardiology",2013,68,63,16,66,0,0,-0.385662480811985,-4.7887633396108
"cardiac & cardiovascular systems","basic research in cardiology",2014,48,43,16,47,0,0,-0.7339691750802,-3.7887633396108
"cardiac & cardiovascular systems","basic research in cardiology",2015,54,50,18,53,0,0,-0.616186139423817,-2.7887633396108
"cardiac & cardiovascular systems","basic research in cardiology",2016,53,51,20,53,0,0,-0.63487827243597,-1.7887633396108
"cardiac & cardiovascular systems","basic research in cardiology",2017,57,50,19,54,0,0,-0.562118918153541,-0.788763339610796
"cardiac & cardiovascular systems","basic research in cardiology",2018,28,21,15,27,0,0,-1.27296567581289,0.211236660389204
"cardiac & cardiovascular systems","basic research in cardiology",2019,40,29,27,38,0,0,-0.916290731874155,1.2112366603892
"cardiac & cardiovascular systems","basic research in cardiology",2020,55,35,41,54,0,0,-0.59783700075562,2.2112366603892
"cardiac & cardiovascular systems","basic research in cardiology",2021,48,21,39,46,0,0,-0.7339691750802,3.2112366603892
"cardiac & cardiovascular systems","basic research in cardiology",2022,47,25,41,46,0,0,-0.755022584278033,4.2112366603892
"cardiac & cardiovascular systems","basic research in cardiology",2023,35,14,30,33,0,0,-1.04982212449868,5.2112366603892
"cardiac & cardiovascular systems","basic research in cardiology",2024,45,11,42,43,0,0,-0.798507696217772,6.2112366603892
"cardiac & cardiovascular systems","basic research in cardiology",2025,50,10,47,48,0,0,-0.693147180559945,7.2112366603892
"cardiac & cardiovascular systems","canadian journal of cardiology",2010,50,14,5,19,0,0,-0.693147180559945,-7.7887633396108
"cardiac & cardiovascular systems","canadian journal of cardiology",2011,62,10,10,18,0,0,-0.478035800943,-6.7887633396108
"cardiac & cardiovascular systems","canadian journal of cardiology",2012,60,10,6,15,0,0,-0.510825623765991,-5.7887633396108
"cardiac & cardiovascular systems","canadian journal of cardiology",2013,112,25,16,37,0,0,0.113328685307003,-4.7887633396108
"cardiac & cardiovascular systems","canadian journal of cardiology",2014,106,20,13,31,0,0,0.0582689081239758,-3.7887633396108
"cardiac & cardiovascular systems","canadian journal of cardiology",2015,74,21,11,28,0,0,-0.301105092783922,-2.7887633396108
"cardiac & cardiovascular systems","canadian journal of cardiology",2016,121,24,17,39,0,0,0.19062035960865,-1.7887633396108
"cardiac & cardiovascular systems","canadian journal of cardiology",2017,77,13,18,29,0,0,-0.261364764134408,-0.788763339610796
"cardiac & cardiovascular systems","canadian journal of cardiology",2018,93,11,6,16,0,0,-0.0725706928348354,0.211236660389204
"cardiac & cardiovascular systems","canadian journal of cardiology",2019,96,17,27,38,0,0,-0.0408219945202552,1.2112366603892
"cardiac & cardiovascular systems","canadian journal of cardiology",2020,105,12,24,29,0,0,0.048790164169432,2.2112366603892
"cardiac & cardiovascular systems","canadian journal of cardiology",2021,112,13,18,25,0,0,0.113328685307003,3.2112366603892
"cardiac & cardiovascular systems","canadian journal of cardiology",2022,62,9,13,19,0,0,-0.478035800943,4.2112366603892
"cardiac & cardiovascular systems","canadian journal of cardiology",2023,64,12,17,27,0,0,-0.446287102628419,5.2112366603892
"cardiac & cardiovascular systems","canadian journal of cardiology",2024,81,5,17,21,0,0,-0.210721031315653,6.2112366603892
