Row_ID,Name,eISSN,Journal Name,JCR_Abbrev,Name_Teshome,Name_Teresa,Name_2,Name_Robert,ABZ_order,JID
21,1432-0533_bz_results.csv,1432-0533,acta neuropathologica,ACTA NEUROPATHOL,acta neuropathologica,Acta neuropathologica,,ACTA NEUROPATHOLOGICA,1,117
127,1745-7254_bz_results.csv,1745-7254,acta pharmacologica sinica,ACTA PHARMACOL SIN,acta pharmacologica sinica,Acta pharmacologica Sinica,,ACTA PHARMACOLOGICA SINICA,2,160
128,1748-1716_bz_results.csv,1748-1716,acta physiologica,ACTA PHYSIOL,acta physiologica,"Acta physiologica (Oxford, England)",,Acta Physiologica,3,165
39,1473-0790_bz_results.csv,1473-0790,aging male,AGING MALE,aging male,The aging male : the official journal of the International Society for the Study of the Aging Male,,Aging Male,4,210
16,1365-2036_bz_results.csv,1365-2036,alimentary pharmacology & therapeutics,ALIMENT PHARM THER,alimentary pharmacology & therapeutics,Alimentary pharmacology &amp; therapeutics,,ALIMENTARY PHARMACOLOGY & THERAPEUTICS,5,159
13,1179-187X_bz_results.csv,1179-187X,american journal of cardiovascular drugs,AM J CARDIOVASC DRUG,,"American journal of cardiovascular drugs : drugs, devices, and other interventions",,American Journal of Cardiovascular Drugs,6,30
90,1537-6605_bz_results.csv,1537-6605,american journal of human genetics,AM J HUM GENET,american journal of human genetics,American journal of human genetics,,AMERICAN JOURNAL OF HUMAN GENETICS,7,75
66,1522-1563_bz_results.csv,1522-1563,american journal of physiology-cell physiology,AM J PHYSIOL-CELL PH,american journal of physiology cell physiology,American journal of physiology. Cell physiology,,AMERICAN JOURNAL OF PHYSIOLOGY-CELL PHYSIOLOGY,8,178
65,1522-1555_bz_results.csv,1522-1555,american journal of physiology-endocrinology and metabolism,AM J PHYSIOL-ENDOC M,american journal of physiology endocrinology & metabolism,American journal of physiology. Endocrinology and metabolism,,AMERICAN JOURNAL OF PHYSIOLOGY-ENDOCRINOLOGY AND METABOLISM,9,175
64,1522-1547_bz_results.csv,1522-1547,american journal of physiology-gastrointestinal and liver physiology,AM J PHYSIOL-GASTR L,american journal of physiology gastrointestinal & liver physiology,American journal of physiology. Gastrointestinal and liver physiology,,AMERICAN JOURNAL OF PHYSIOLOGY-GASTROINTESTINAL AND LIVER PHYSIOLOGY,10,181
63,1522-1539_bz_results.csv,1522-1539,american journal of physiology-heart and circulatory physiology,AM J PHYSIOL-HEART C,american journal of physiology heart & circulatory physiology,American journal of physiology. Heart and circulatory physiology,,AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY,11,172
62,1522-1504_bz_results.csv,1522-1504,american journal of physiology-lung cellular and molecular physiology,AM J PHYSIOL-LUNG C,american journal of physiology lung cellular & molecular physiology,American journal of physiology. Lung cellular and molecular physiology,,AMERICAN JOURNAL OF PHYSIOLOGY-LUNG CELLULAR AND MOLECULAR PHYSIOLOGY,12,163
61,1522-1490_bz_results.csv,1522-1490,american journal of physiology-regulatory integrative and comparative physiology,AM J PHYSIOL-REG I,american journal of physiology regulatory integrative & comparative physiology,"American journal of physiology. Regulatory, integrative and comparative physiology",,AMERICAN JOURNAL OF PHYSIOLOGY-REGULATORY INTEGRATIVE AND COMPARATIVE PHYSIOLOGY,13,184
60,1522-1466_bz_results.csv,1522-1466,american journal of physiology-renal physiology,AM J PHYSIOL-RENAL,american journal of physiology renal physiology,American journal of physiology. Renal physiology,,AMERICAN JOURNAL OF PHYSIOLOGY-RENAL PHYSIOLOGY,14,190
81,1531-8249_bz_results.csv,1531-8249,annals of neurology,ANN NEUROL,annals of neurology,Annals of neurology,,ANNALS OF NEUROLOGY,15,122
114,1569-8041_bz_results.csv,1569-8041,annals of oncology,ANN ONCOL,annals of oncology,Annals of oncology : official journal of the European Society for Medical Oncology,,ANNALS OF ONCOLOGY,16,126
101,1552-6259_bz_results.csv,1552-6259,annals of thoracic surgery,ANN THORAC SURG,annals of thoracic surgery,The Annals of thoracic surgery,,ANNALS OF THORACIC SURGERY,17,26
108,1557-7716_bz_results.csv,1557-7716,antioxidants & redox signaling,ANTIOXID REDOX SIGN,antioxidants & redox signaling,Antioxidants &amp; redox signaling,,ANTIOXIDANTS & REDOX SIGNALING,18,49
126,1744-4160_bz_results.csv,1744-4160,archives of physiology and biochemistry,ARCH PHYSIOL BIOCHEM,archives of physiology & biochemistry,Archives of physiology and biochemistry,,ARCHIVES OF PHYSIOLOGY AND BIOCHEMISTRY,19,170
197,2326-5205_bz_results.csv,2326-5205,arthritis & rheumatology,ARTHRITIS RHEUMATOL,arthritis & rheumatology,Arthritis research &amp; therapy,,Arthritis Research & Therapy,20,206
53,1478-6362_bz_results.csv,1478-6362,arthritis research & therapy,ARTHRITIS RES THER,,"Arthritis &amp; rheumatology (Hoboken, N.J.)",,Arthritis & Rheumatology,21,202
152,1879-1484_bz_results.csv,1879-1484,atherosclerosis,ATHEROSCLEROSIS,atherosclerosis,Atherosclerosis,,ATHEROSCLEROSIS,22,33
25,1435-1803_bz_results.csv,1435-1803,basic research in cardiology,BASIC RES CARDIOL,basic research in cardiology,Basic research in cardiology,,BASIC RESEARCH IN CARDIOLOGY,23,5
140,1872-8081_bz_results.csv,1872-8081,biofactors,BIOFACTORS,biofactors,"BioFactors (Oxford, England)",,BIOFACTORS,24,57
174,2044-5385_bz_results.csv,2044-5385,blood cancer journal,BLOOD CANCER J,blood cancer journal,Blood cancer journal,,Blood Cancer Journal,25,136
178,2049-4394_bz_results.csv,2049-4394,bone & joint journal,BONE JOINT J,bone & joint journal,The bone &amp; joint journal,,Bone & Joint Journal,26,155
175,2046-3758_bz_results.csv,2046-3758,bone & joint research,BONE JOINT RES,bone & joint research,Bone &amp; joint research,,Bone & Joint Research,27,154
44,1476-5365_bz_results.csv,1476-5365,bone marrow transplantation,BONE MARROW TRANSPL,bone marrow transplantation,Bone marrow transplantation,,BONE MARROW TRANSPLANTATION,28,112
31,1460-2156_bz_results.csv,1460-2156,brain,BRAIN,brain,Brain : a journal of neurology,,BRAIN,29,34
83,1532-1827_bz_results.csv,1532-1827,british journal of cancer,BRIT J CANCER,british journal of cancer,British journal of cancer,,BRITISH JOURNAL OF CANCER,30,142
45,1476-5381_bz_results.csv,1476-5381,british journal of pharmacology,BRIT J PHARMACOL,british journal of pharmacology,British journal of pharmacology,,BRITISH JOURNAL OF PHARMACOLOGY,31,157
