Name,eISSN,Journal Name,JCR_Abbrev
0742-3098_bz_results.csv,0742-3098,journal of pineal research,J PINEAL RES
0867-5910_bz_results.csv,0867-5910,journal of physiology and pharmacology,J PHYSIOL PHARMACOL
1021-9498_bz_results.csv,1021-9498,journal of food and drug analysis,J FOOD DRUG ANAL
1089-8646_bz_results.csv,1089-8646,genomics,GENOMICS
1095-8584_bz_results.csv,1095-8584,journal of molecular and cellular cardiology,J MOL CELL CARDIOL
1095-9157_bz_results.csv,1095-9157,journal of autoimmunity,J AUTOIMMUN
1095-9939_bz_results.csv,1095-9939,pesticide biochemistry and physiology,PESTIC BIOCHEM PHYS
1097-0142_bz_results.csv,1097-0142,cancer,CANCER-AM CANCER SOC
1097-0215_bz_results.csv,1097-0215,international journal of cancer,INT J CANCER
1097-4180_bz_results.csv,1097-4180,immunity,IMMUNITY
1097-4199_bz_results.csv,1097-4199,neuron,NEURON
1097-6825_bz_results.csv,1097-6825,journal of allergy and clinical immunology,J ALLERGY CLIN IMMUN
1179-187X_bz_results.csv,1179-187X,american journal of cardiovascular drugs,AM J CARDIOVASC DRUG
1349-7006_bz_results.csv,1349-7006,cancer science,CANCER SCI
1361-6579_bz_results.csv,1361-6579,physiological measurement,PHYSIOL MEAS
1365-2036_bz_results.csv,1365-2036,alimentary pharmacology & therapeutics,ALIMENT PHARM THER
1365-2567_bz_results.csv,1365-2567,immunology,IMMUNOLOGY
1365-2990_bz_results.csv,1365-2990,neuropathology and applied neurobiology,NEUROPATH APPL NEURO
1423-0143_bz_results.csv,1423-0143,kidney & blood pressure research,KIDNEY BLOOD PRESS R
1432-0428_bz_results.csv,1432-0428,diabetologia,DIABETOLOGIA
1432-0533_bz_results.csv,1432-0533,acta neuropathologica,ACTA NEUROPATHOL
1432-0851_bz_results.csv,1432-0851,cancer immunology immunotherapy,CANCER IMMUNOL IMMUN
1432-2013_bz_results.csv,1432-2013,pflugers archiv-european journal of physiology,PFLUG ARCH EUR J PHY
1432-2242_bz_results.csv,1432-2242,theoretical and applied genetics,THEOR APPL GENET
1435-1803_bz_results.csv,1435-1803,basic research in cardiology,BASIC RES CARDIOL
1436-3305_bz_results.csv,1436-3305,gastric cancer,GASTRIC CANCER
