JCR Abbreviation	year	has_bar	has_informative	has_bar_or_informative	journal	Publisher	Policy	Policy_date	All_Fields
ACTA NEUROPATHOL	2010.0	29	14	38	Acta neuropathologica	SPRINGER	0.0		CLINICAL NEUROLOGY; NEUROSCIENCES; PATHOLOGY
ACTA NEUROPATHOL	2011.0	40	24	53	Acta neuropathologica	SPRINGER	0.0		CLINICAL NEUROLOGY; NEUROSCIENCES; PATHOLOGY
ACTA NEUROPATHOL	2012.0	51	34	67	Acta neuropathologica	SPRINGER	0.0		CLINICAL NEUROLOGY; NEUROSCIENCES; PATHOLOGY
ACTA NEUROPATHOL	2013.0	55	32	70	Acta neuropathologica	SPRINGER	0.0		CLINICAL NEUROLOGY; NEUROSCIENCES; PATHOLOGY
ACTA NEUROPATHOL	2014.0	40	23	50	Acta neuropathologica	SPRINGER	0.0		CLINICAL NEUROLOGY; NEUROSCIENCES; PATHOLOGY
ACTA NEUROPATHOL	2015.0	49	41	69	Acta neuropathologica	SPRINGER	0.0		CLINICAL NEUROLOGY; NEUROSCIENCES; PATHOLOGY
ACTA NEUROPATHOL	2016.0	49	32	59	Acta neuropathologica	SPRINGER	0.0		CLINICAL NEUROLOGY; NEUROSCIENCES; PATHOLOGY
ACTA NEUROPATHOL	2017.0	47	42	65	Acta neuropathologica	SPRINGER	0.0		CLINICAL NEUROLOGY; NEUROSCIENCES; PATHOLOGY
ACTA NEUROPATHOL	2018.0	41	50	66	Acta neuropathologica	SPRINGER	0.0		CLINICAL NEUROLOGY; NEUROSCIENCES; PATHOLOGY
ACTA NEUROPATHOL	2019.0	41	56	69	Acta neuropathologica	SPRINGER	0.0		CLINICAL NEUROLOGY; NEUROSCIENCES; PATHOLOGY
ACTA NEUROPATHOL	2020.0	32	58	68	Acta neuropathologica	SPRINGER	0.0		CLINICAL NEUROLOGY; NEUROSCIENCES; PATHOLOGY
ACTA NEUROPATHOL	2021.0	31	67	73	Acta neuropathologica	SPRINGER	0.0		CLINICAL NEUROLOGY; NEUROSCIENCES; PATHOLOGY
ACTA NEUROPATHOL	2022.0	24	61	65	Acta neuropathologica	SPRINGER	0.0		CLINICAL NEUROLOGY; NEUROSCIENCES; PATHOLOGY
ACTA NEUROPATHOL	2023.0	25	64	68	Acta neuropathologica	SPRINGER	0.0		CLINICAL NEUROLOGY; NEUROSCIENCES; PATHOLOGY
ACTA NEUROPATHOL	2024.0	28	102	108	Acta neuropathologica	SPRINGER	0.0		CLINICAL NEUROLOGY; NEUROSCIENCES; PATHOLOGY
