journal,year,n_bar_cont,n_informative,n_bar_or_informative,policy,policy_year,JCR Abbreviation,Publisher,All_Fields,p_bar,p_informative,p_total
Acta neuropathologica,2010.0,29,14,38,0.0,,ACTA NEUROPATHOL,SPRINGER,CLINICAL NEUROLOGY; NEUROSCIENCES; PATHOLOGY,0.7631578947368421,0.3684210526315789,1.131578947368421
Acta neuropathologica,2011.0,40,24,53,0.0,,ACTA NEUROPATHOL,SPRINGER,CLINICAL NEUROLOGY; NEUROSCIENCES; PATHOLOGY,0.7547169811320755,0.4528301886792453,1.207547169811321
Acta neuropathologica,2012.0,51,34,67,0.0,,ACTA NEUROPATHOL,SPRINGER,CLINICAL NEUROLOGY; NEUROSCIENCES; PATHOLOGY,0.7611940298507462,0.5074626865671642,1.2686567164179103
Acta neuropathologica,2013.0,55,32,70,0.0,,ACTA NEUROPATHOL,SPRINGER,CLINICAL NEUROLOGY; NEUROSCIENCES; PATHOLOGY,0.7857142857142857,0.4571428571428571,1.2428571428571429
Acta neuropathologica,2014.0,40,23,50,0.0,,ACTA NEUROPATHOL,SPRINGER,CLINICAL NEUROLOGY; NEUROSCIENCES; PATHOLOGY,0.8,0.46,1.26
Acta neuropathologica,2015.0,49,41,69,0.0,,ACTA NEUROPATHOL,SPRINGER,CLINICAL NEUROLOGY; NEUROSCIENCES; PATHOLOGY,0.7101449275362319,0.5942028985507246,1.3043478260869563
Acta neuropathologica,2016.0,49,32,59,0.0,,ACTA NEUROPATHOL,SPRINGER,CLINICAL NEUROLOGY; NEUROSCIENCES; PATHOLOGY,0.8305084745762712,0.5423728813559322,1.3728813559322033
Acta neuropathologica,2017.0,47,42,65,0.0,,ACTA NEUROPATHOL,SPRINGER,CLINICAL NEUROLOGY; NEUROSCIENCES; PATHOLOGY,0.7230769230769231,0.6461538461538462,1.3692307692307693
Acta neuropathologica,2018.0,41,50,66,0.0,,ACTA NEUROPATHOL,SPRINGER,CLINICAL NEUROLOGY; NEUROSCIENCES; PATHOLOGY,0.6212121212121212,0.7575757575757576,1.378787878787879
Acta neuropathologica,2019.0,41,56,69,0.0,,ACTA NEUROPATHOL,SPRINGER,CLINICAL NEUROLOGY; NEUROSCIENCES; PATHOLOGY,0.5942028985507246,0.8115942028985508,1.4057971014492754
