field,journal,year,n_graphs,n_bar_cont,n_informative,n_bar_or_informative,policy,policy_year,log_offset,year_centered,JCR_Abbrev,JID,num_articles,p_bar,p_informative,p_total
cardiac & cardiovascular systems,annals of thoracic surgery,2010,442,55,27,79,0,0,1.48613969608961,-7.99493510604611,ANN THORAC SURG,26.0,79,0.6962025316455697,0.34177215189873417,79
cardiac & cardiovascular systems,annals of thoracic surgery,2011,467,68,50,114,0,0,1.54115907168081,-6.99493510604611,ANN THORAC SURG,26.0,114,0.5964912280701754,0.43859649122807015,114
cardiac & cardiovascular systems,annals of thoracic surgery,2012,456,46,48,87,0,0,1.51732262352629,-5.99493510604611,ANN THORAC SURG,26.0,87,0.5287356321839081,0.5517241379310345,87
cardiac & cardiovascular systems,annals of thoracic surgery,2013,478,60,51,104,0,0,1.56444054650336,-4.99493510604611,ANN THORAC SURG,26.0,104,0.5769230769230769,0.49038461538461536,104
cardiac & cardiovascular systems,annals of thoracic surgery,2014,465,58,48,97,0,0,1.53686721959926,-3.99493510604611,ANN THORAC SURG,26.0,97,0.5979381443298969,0.4948453608247423,97
cardiac & cardiovascular systems,annals of thoracic surgery,2015,462,62,67,120,0,0,1.53039470509365,-2.99493510604611,ANN THORAC SURG,26.0,120,0.5166666666666667,0.5583333333333333,120
cardiac & cardiovascular systems,annals of thoracic surgery,2016,461,64,60,118,0,0,1.52822785700856,-1.99493510604611,ANN THORAC SURG,26.0,118,0.5423728813559322,0.5084745762711864,118
cardiac & cardiovascular systems,annals of thoracic surgery,2017,472,43,73,112,0,0,1.55180879959746,-0.994935106046114,ANN THORAC SURG,26.0,112,0.38392857142857145,0.6517857142857143,112
cardiac & cardiovascular systems,annals of thoracic surgery,2018,458,43,67,101,0,0,1.52169899812609,0.0050648939538859,ANN THORAC SURG,26.0,101,0.42574257425742573,0.6633663366336634,101
cardiac & cardiovascular systems,annals of thoracic surgery,2019,422,52,56,98,0,0,1.43983512804792,1.00506489395389,ANN THORAC SURG,26.0,98,0.5306122448979592,0.5714285714285714,98
cardiac & cardiovascular systems,annals of thoracic surgery,2020,444,29,70,95,0,0,1.49065437644413,2.00506489395389,ANN THORAC SURG,26.0,95,0.30526315789473685,0.7368421052631579,95
cardiac & cardiovascular systems,annals of thoracic surgery,2021,448,33,72,96,0,0,1.49962304642689,3.00506489395389,ANN THORAC SURG,26.0,96,0.34375,0.75,96
cardiac & cardiovascular systems,annals of thoracic surgery,2022,367,9,20,27,0,0,1.30019166206648,4.00506489395389,ANN THORAC SURG,26.0,27,0.3333333333333333,0.7407407407407407,27
cardiac & cardiovascular systems,annals of thoracic surgery,2023,278,12,46,56,0,0,1.02245092770255,5.00506489395389,ANN THORAC SURG,26.0,56,0.21428571428571427,0.8214285714285714,56
cardiac & cardiovascular systems,annals of thoracic surgery,2024,209,11,35,43,0,0,0.73716406597672,6.00506489395389,ANN THORAC SURG,26.0,43,0.2558139534883721,0.813953488372093,43
cardiac & cardiovascular systems,annals of thoracic surgery,2025,218,14,40,47,0,0,0.779324876800998,7.00506489395389,ANN THORAC SURG,26.0,47,0.2978723404255319,0.851063829787234,47
cardiac & cardiovascular systems,atherosclerosis,2010,496,229,85,278,0,0,1.60140574073684,-7.99493510604611,ATHEROSCLEROSIS,33.0,278,0.8237410071942446,0.3057553956834532,278
cardiac & cardiovascular systems,atherosclerosis,2011,406,194,79,231,0,0,1.40118297361364,-6.99493510604611,ATHEROSCLEROSIS,33.0,231,0.8398268398268398,0.341991341991342,231
cardiac & cardiovascular systems,atherosclerosis,2012,380,178,87,220,0,0,1.33500106673234,-5.99493510604611,ATHEROSCLEROSIS,33.0,220,0.8090909090909091,0.39545454545454545,220
cardiac & cardiovascular systems,atherosclerosis,2013,312,134,54,171,0,0,1.13783300182139,-4.99493510604611,ATHEROSCLEROSIS,33.0,171,0.783625730994152,0.3157894736842105,171
cardiac & cardiovascular systems,atherosclerosis,2014,394,179,86,226,0,0,1.37118072330984,-3.99493510604611,ATHEROSCLEROSIS,33.0,226,0.7920353982300885,0.3805309734513274,226
cardiac & cardiovascular systems,atherosclerosis,2015,399,146,78,195,0,0,1.38379123090177,-2.99493510604611,ATHEROSCLEROSIS,33.0,195,0.7487179487179487,0.4,195
cardiac & cardiovascular systems,atherosclerosis,2016,357,148,81,195,0,0,1.27256559579155,-1.99493510604611,ATHEROSCLEROSIS,33.0,195,0.7589743589743589,0.4153846153846154,195
cardiac & cardiovascular systems,atherosclerosis,2017,277,98,65,142,0,0,1.01884732019925,-0.994935106046114,ATHEROSCLEROSIS,33.0,142,0.6901408450704225,0.45774647887323944,142
cardiac & cardiovascular systems,atherosclerosis,2018,347,109,80,152,0,0,1.24415459395877,0.0050648939538859,ATHEROSCLEROSIS,33.0,152,0.7171052631578947,0.5263157894736842,152
cardiac & cardiovascular systems,atherosclerosis,2019,234,82,74,115,0,0,0.85015092936961,1.00506489395389,ATHEROSCLEROSIS,33.0,115,0.7130434782608696,0.6434782608695652,115
cardiac & cardiovascular systems,atherosclerosis,2020,227,57,65,105,0,0,0.819779831493311,2.00506489395389,ATHEROSCLEROSIS,33.0,105,0.5428571428571428,0.6190476190476191,105
cardiac & cardiovascular systems,atherosclerosis,2021,202,39,56,79,0,0,0.703097511413113,3.00506489395389,ATHEROSCLEROSIS,33.0,79,0.4936708860759494,0.7088607594936709,79
