field,journal,year,n_graphs,n_bar_cont,n_informative,n_bar_or_informative,policy,policy_year,log_offset,year_centered,JCR_Abbrev,JID,num_articles,p_bar,p_informative,p_total,All_Fields
cardiac & cardiovascular systems,annals of thoracic surgery,2010,442,55,27,79,0,0,1.486139696,-7.994935106,ANN THORAC SURG,26,79,0.6962025316455697,0.34177215189873417,79,CARDIAC & CARDIOVASCULAR SYSTEMS; RESPIRATORY SYSTEM; SURGERY
cardiac & cardiovascular systems,annals of thoracic surgery,2011,467,68,50,114,0,0,1.541159072,-6.994935106,ANN THORAC SURG,26,114,0.5964912280701754,0.43859649122807015,114,CARDIAC & CARDIOVASCULAR SYSTEMS; RESPIRATORY SYSTEM; SURGERY
cardiac & cardiovascular systems,annals of thoracic surgery,2012,456,46,48,87,0,0,1.517322624,-5.994935106,ANN THORAC SURG,26,87,0.5287356321839081,0.5517241379310345,87,CARDIAC & CARDIOVASCULAR SYSTEMS; RESPIRATORY SYSTEM; SURGERY
cardiac & cardiovascular systems,annals of thoracic surgery,2013,478,60,51,104,0,0,1.564440547,-4.994935106,ANN THORAC SURG,26,104,0.5769230769230769,0.49038461538461536,104,CARDIAC & CARDIOVASCULAR SYSTEMS; RESPIRATORY SYSTEM; SURGERY
cardiac & cardiovascular systems,annals of thoracic surgery,2014,465,58,48,97,0,0,1.53686722,-3.994935106,ANN THORAC SURG,26,97,0.5979381443298969,0.4948453608247423,97,CARDIAC & CARDIOVASCULAR SYSTEMS; RESPIRATORY SYSTEM; SURGERY
cardiac & cardiovascular systems,annals of thoracic surgery,2015,462,62,67,120,0,0,1.530394705,-2.994935106,ANN THORAC SURG,26,120,0.5166666666666667,0.5583333333333333,120,CARDIAC & CARDIOVASCULAR SYSTEMS; RESPIRATORY SYSTEM; SURGERY
cardiac & cardiovascular systems,annals of thoracic surgery,2016,461,64,60,118,0,0,1.528227857,-1.994935106,ANN THORAC SURG,26,118,0.5423728813559322,0.5084745762711864,118,CARDIAC & CARDIOVASCULAR SYSTEMS; RESPIRATORY SYSTEM; SURGERY
cardiac & cardiovascular systems,annals of thoracic surgery,2017,472,43,73,112,0,0,1.5518088,-0.994935106,ANN THORAC SURG,26,112,0.38392857142857145,0.6517857142857143,112,CARDIAC & CARDIOVASCULAR SYSTEMS; RESPIRATORY SYSTEM; SURGERY
cardiac & cardiovascular systems,annals of thoracic surgery,2018,458,43,67,101,0,0,1.521698998,0.005064894,ANN THORAC SURG,26,101,0.42574257425742573,0.6633663366336634,101,CARDIAC & CARDIOVASCULAR SYSTEMS; RESPIRATORY SYSTEM; SURGERY
cardiac & cardiovascular systems,annals of thoracic surgery,2019,422,52,56,98,0,0,1.439835128,1.005064894,ANN THORAC SURG,26,98,0.5306122448979592,0.5714285714285714,98,CARDIAC & CARDIOVASCULAR SYSTEMS; RESPIRATORY SYSTEM; SURGERY
cardiac & cardiovascular systems,annals of thoracic surgery,2020,444,29,70,95,0,0,1.490654376,2.005064894,ANN THORAC SURG,26,95,0.30526315789473685,0.7368421052631579,95,CARDIAC & CARDIOVASCULAR SYSTEMS; RESPIRATORY SYSTEM; SURGERY
cardiac & cardiovascular systems,annals of thoracic surgery,2021,448,33,72,96,0,0,1.499623046,3.005064894,ANN THORAC SURG,26,96,0.34375,0.75,96,CARDIAC & CARDIOVASCULAR SYSTEMS; RESPIRATORY SYSTEM; SURGERY
cardiac & cardiovascular systems,annals of thoracic surgery,2022,367,9,20,27,0,0,1.300191662,4.005064894,ANN THORAC SURG,26,27,0.3333333333333333,0.7407407407407407,27,CARDIAC & CARDIOVASCULAR SYSTEMS; RESPIRATORY SYSTEM; SURGERY
cardiac & cardiovascular systems,annals of thoracic surgery,2023,278,12,46,56,0,0,1.022450928,5.005064894,ANN THORAC SURG,26,56,0.21428571428571427,0.8214285714285714,56,CARDIAC & CARDIOVASCULAR SYSTEMS; RESPIRATORY SYSTEM; SURGERY
cardiac & cardiovascular systems,annals of thoracic surgery,2024,209,11,35,43,0,0,0.737164066,6.005064894,ANN THORAC SURG,26,43,0.2558139534883721,0.813953488,43,CARDIAC & CARDIOVASCULAR SYSTEMS; RESPIRATORY SYSTEM; SURGERY
cardiac & cardiovascular systems,annals of thoracic surgery,2025,218,14,40,47,0,0,0.779324877,7.005064894,ANN THORAC SURG,26,47,0.2978723404255319,0.85106383,47,CARDIAC & CARDIOVASCULAR SYSTEMS; RESPIRATORY SYSTEM; SURGERY
cardiac & cardiovascular systems,atherosclerosis,2010,496,229,85,278,0,0,1.601405741,-7.994935106,ATHEROSCLEROSIS,33,278,0.8237410071942446,0.3057553956834532,278,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE
cardiac & cardiovascular systems,atherosclerosis,2011,406,194,79,231,0,0,1.401182974,-6.994935106,ATHEROSCLEROSIS,33,231,0.8398268398268398,0.341991342,231,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE
cardiac & cardiovascular systems,atherosclerosis,2012,380,178,87,220,0,0,1.335001067,-5.994935106,ATHEROSCLEROSIS,33,220,0.8090909090909091,0.39545454545454545,220,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE
cardiac & cardiovascular systems,atherosclerosis,2013,312,134,54,171,0,0,1.137833002,-4.994935106,ATHEROSCLEROSIS,33,171,0.783625731,0.3157894736842105,171,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE
cardiac & cardiovascular systems,atherosclerosis,2014,394,179,86,226,0,0,1.371180723,-3.994935106,ATHEROSCLEROSIS,33,226,0.7920353982300885,0.3805309734513274,226,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE
cardiac & cardiovascular systems,atherosclerosis,2015,399,146,78,195,0,0,1.383791231,-2.994935106,ATHEROSCLEROSIS,33,195,0.7487179487179487,0.4,195,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE
cardiac & cardiovascular systems,atherosclerosis,2016,357,148,81,195,0,0,1.272565596,-1.994935106,ATHEROSCLEROSIS,33,195,0.7589743589743589,0.4153846153846154,195,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE
cardiac & cardiovascular systems,atherosclerosis,2017,277,98,65,142,0,0,1.01884732,-0.994935106,ATHEROSCLEROSIS,33,142,0.6901408450704225,0.45774647887323944,142,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE
cardiac & cardiovascular systems,atherosclerosis,2018,347,109,80,152,0,0,1.244154594,0.005064894,ATHEROSCLEROSIS,33,152,0.7171052631578947,0.5263157894736842,152,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE
cardiac & cardiovascular systems,atherosclerosis,2019,234,82,74,115,0,0,0.850150929,1.005064894,ATHEROSCLEROSIS,33,115,0.7130434782608696,0.6434782608695652,115,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE
cardiac & cardiovascular systems,atherosclerosis,2020,227,57,65,105,0,0,0.819779831,2.005064894,ATHEROSCLEROSIS,33,105,0.5428571428571428,0.6190476190476191,105,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE
cardiac & cardiovascular systems,atherosclerosis,2021,202,39,56,79,0,0,0.703097511,3.005064894,ATHEROSCLEROSIS,33,79,0.4936708860759494,0.7088607594936709,79,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE
cardiac & cardiovascular systems,atherosclerosis,2022,174,30,59,77,0,0,0.553885113,4.005064894,ATHEROSCLEROSIS,33,77,0.38961038961038963,0.7662337662337663,77,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE
cardiac & cardiovascular systems,atherosclerosis,2023,149,38,55,75,0,0,0.39877612,5.005064894,ATHEROSCLEROSIS,33,75,0.5066666666666667,0.7333333333333333,75,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE
cardiac & cardiovascular systems,atherosclerosis,2024,165,36,75,89,0,0,0.500775288,6.005064894,ATHEROSCLEROSIS,33,89,0.4044943820224719,0.8426966292134831,89,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE
cardiac & cardiovascular systems,atherosclerosis,2025,188,38,90,109,0,0,0.631271777,7.005064894,ATHEROSCLEROSIS,33,109,0.3486238532110092,0.8256880733944955,109,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE
