field,journal,year,n_graphs,n_bar_cont,n_informative,n_bar_or_informative,policy,policy_year,log_offset,year_centered,num_articles,p_bar,p_informative,p_total,All_Fields
cardiac & cardiovascular systems,circulation,2010,331,136,76,172,1,1,1.19694818938897,-7.99493510604611,172,0.7906976744186046,0.4418604651162791,1.2325581395348837,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE
cardiac & cardiovascular systems,circulation,2011,262,135,58,157,1,2,0.963174317773006,-6.99493510604611,157,0.8598726114649682,0.36942675159235666,1.2292993630573248,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE
cardiac & cardiovascular systems,circulation,2012,53,24,9,29,1,3,-0.63487827243597,-5.99493510604611,29,0.8275862068965517,0.3103448275862069,1.1379310344827587,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE
cardiac & cardiovascular systems,circulation,2013,201,96,59,121,1,4,0.698134722070984,-4.99493510604611,121,0.7933884297520661,0.48760330578512395,1.28099173553719,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE
cardiac & cardiovascular systems,circulation,2014,175,57,43,79,1,5,0.559615787935423,-3.99493510604611,79,0.7215189873417721,0.5443037974683544,1.2658227848101267,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE
cardiac & cardiovascular systems,circulation,2015,54,14,18,26,1,6,-0.616186139423817,-2.99493510604611,26,0.5384615384615384,0.6923076923076923,1.2307692307692308,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE
cardiac & cardiovascular systems,circulation,2016,10,2,2,4,1,7,-2.30258509299405,-1.99493510604611,4,0.5,0.5,1.0,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE
cardiac & cardiovascular systems,circulation,2017,15,11,11,13,1,8,-1.89711998488588,-0.994935106046114,13,0.8461538461538461,0.8461538461538461,1.6923076923076923,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE
cardiac & cardiovascular systems,circulation,2018,12,9,6,10,1,9,-2.12026353620009,0.0050648939538859,10,0.9,0.6,1.5,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE
cardiac & cardiovascular systems,circulation,2019,1,1,0,1,1,10,-4.60517018598809,1.00506489395389,1,1.0,0.0,1.0,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE
cardiac & cardiovascular systems,circulation,2021,2,1,0,1,1,11,-3.91202300542815,3.00506489395389,1,1.0,0.0,1.0,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE
cardiac & cardiovascular systems,circulation,2022,167,24,91,95,1,12,0.512823626428664,4.00506489395389,95,0.25263157894736843,0.9578947368421052,1.2105263157894737,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE
cardiac & cardiovascular systems,circulation,2023,179,30,89,94,1,13,0.582215619852664,5.00506489395389,94,0.3191489361702128,0.9468085106382979,1.2659574468085106,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE
cardiac & cardiovascular systems,circulation,2024,182,30,101,106,1,14,0.598836501088704,6.00506489395389,106,0.2830188679245283,0.9528301886792453,1.2358490566037736,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE
cardiac & cardiovascular systems,circulation,2025,190,33,116,125,1,15,0.641853886172395,7.00506489395389,125,0.264,0.928,1.1920000000000002,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE
cardiac & cardiovascular systems,circulation,2026,12,1,7,7,1,16,-2.12026353620009,8.00506489395389,7,0.14285714285714285,1.0,1.1428571428571428,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE
cardiac & cardiovascular systems,circulation-arrhythmia and electrophysiology,2010,62,17,10,25,1,1,-0.478035800943,-7.99493510604611,25,0.68,0.4,1.08,CARDIAC & CARDIOVASCULAR SYSTEMS
cardiac & cardiovascular systems,circulation-arrhythmia and electrophysiology,2011,65,17,10,24,1,2,-0.430782916092454,-6.99493510604611,24,0.7083333333333334,0.4166666666666667,1.125,CARDIAC & CARDIOVASCULAR SYSTEMS
cardiac & cardiovascular systems,circulation-arrhythmia and electrophysiology,2012,25,8,9,12,1,3,-1.38629436111989,-5.99493510604611,12,0.6666666666666666,0.75,1.4166666666666665,CARDIAC & CARDIOVASCULAR SYSTEMS
cardiac & cardiovascular systems,circulation-arrhythmia and electrophysiology,2013,86,16,19,31,1,4,-0.150822889734584,-4.99493510604611,31,0.5161290322580645,0.6129032258064516,1.129032258064516,CARDIAC & CARDIOVASCULAR SYSTEMS
