journal,year,n_bar_cont,n_informative,n_bar_or_informative,policy,policy_year,JCR Abbreviation,Publisher,All_Fields,p_bar,p_informative,p_total
Acta pharmacologica Sinica,2010.0,139,27,141,1.0,2013,ACTA PHARMACOL SIN,NATURE PUBL GROUP,"CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY",0.9858156028368794,0.19148936170212766,1.177304964539007
Acta pharmacologica Sinica,2011.0,123,17,125,1.0,2013,ACTA PHARMACOL SIN,NATURE PUBL GROUP,"CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY",0.984,0.136,1.12
Acta pharmacologica Sinica,2012.0,113,22,123,1.0,2013,ACTA PHARMACOL SIN,NATURE PUBL GROUP,"CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY",0.9186991869918699,0.17886178861788618,1.0975609756097562
Acta pharmacologica Sinica,2013.0,119,29,124,1.0,2013,ACTA PHARMACOL SIN,NATURE PUBL GROUP,"CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY",0.9596774193548387,0.23387096774193547,1.1935483870967742
Acta pharmacologica Sinica,2014.0,132,23,133,1.0,2013,ACTA PHARMACOL SIN,NATURE PUBL GROUP,"CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY",0.9924812030075187,0.17293233082706766,1.1654135338345863
Acta pharmacologica Sinica,2015.0,89,22,95,1.0,2013,ACTA PHARMACOL SIN,NATURE PUBL GROUP,"CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY",0.9368421052631579,0.23157894736842105,1.168421052631579
Acta pharmacologica Sinica,2016.0,119,34,124,1.0,2013,ACTA PHARMACOL SIN,NATURE PUBL GROUP,"CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY",0.9596774193548387,0.27419354838709675,1.2338709677419355
Acta pharmacologica Sinica,2017.0,111,28,113,1.0,2013,ACTA PHARMACOL SIN,NATURE PUBL GROUP,"CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY",0.9823008849557522,0.24778761061946902,1.2300884955752212
Acta pharmacologica Sinica,2018.0,122,37,130,1.0,2013,ACTA PHARMACOL SIN,NATURE PUBL GROUP,"CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY",0.9384615384615385,0.2846153846153846,1.2230769230769232
Acta pharmacologica Sinica,2019.0,127,51,133,1.0,2013,ACTA PHARMACOL SIN,NATURE PUBL GROUP,"CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY",0.9548872180451128,0.38345864661654133,1.3383458646616542
Acta pharmacologica Sinica,2020.0,112,35,115,1.0,2013,ACTA PHARMACOL SIN,NATURE PUBL GROUP,"CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY",0.9739130434782609,0.30434782608695654,1.2782608695652176
Acta pharmacologica Sinica,2021.0,155,77,169,1.0,2013,ACTA PHARMACOL SIN,NATURE PUBL GROUP,"CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY",0.9171597633136095,0.4556213017751479,1.3727810650887573
Acta pharmacologica Sinica,2022.0,172,144,215,1.0,2013,ACTA PHARMACOL SIN,NATURE PUBL GROUP,"CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY",0.8,0.6697674418604651,1.4697674418604652
Acta pharmacologica Sinica,2023.0,113,132,173,1.0,2013,ACTA PHARMACOL SIN,NATURE PUBL GROUP,"CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY",0.653179190751445,0.7630057803468208,1.4161849710982657
Acta pharmacologica Sinica,2024.0,94,145,167,1.0,2013,ACTA PHARMACOL SIN,NATURE PUBL GROUP,"CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY",0.562874251497006,0.8682634730538922,1.431137724550898
Acta pharmacologica Sinica,2025.0,124,198,228,1.0,2013,ACTA PHARMACOL SIN,NATURE PUBL GROUP,"CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY",0.543859649122807,0.868421052631579,1.4122807017543861
American journal of physiology. Cell physiology,2010.0,260,49,265,1.0,2017,AM J PHYSIOL-CELL PH,AMER PHYSIOLOGICAL SOC,CELL BIOLOGY; PHYSIOLOGY,0.9811320754716981,0.18490566037735848,1.1660377358490566
American journal of physiology. Cell physiology,2011.0,243,36,246,1.0,2017,AM J PHYSIOL-CELL PH,AMER PHYSIOLOGICAL SOC,CELL BIOLOGY; PHYSIOLOGY,0.9878048780487805,0.14634146341463414,1.1341463414634145
American journal of physiology. Cell physiology,2012.0,244,47,253,1.0,2017,AM J PHYSIOL-CELL PH,AMER PHYSIOLOGICAL SOC,CELL BIOLOGY; PHYSIOLOGY,0.9644268774703557,0.1857707509881423,1.150197628458498
