journal,n_bar_or_informative
Acta neuropathologica,1071
Acta pharmacologica Sinica,2308
"Acta physiologica (Oxford, England)",1080
Alimentary pharmacology &amp; therapeutics,901
"American journal of cardiovascular drugs : drugs, devices, and other interventions",84
American journal of human genetics,1482
American journal of physiology. Cell physiology,2696
American journal of physiology. Endocrinology and metabolism,2600
American journal of physiology. Gastrointestinal and liver physiology,2239
American journal of physiology. Heart and circulatory physiology,3674
American journal of physiology. Lung cellular and molecular physiology,2488
"American journal of physiology. Regulatory, integrative and comparative physiology",2719
American journal of physiology. Renal physiology,3106
Annals of neurology,1440
Annals of oncology : official journal of the European Society for Medical Oncology,642
Antioxidants &amp; redox signaling,1271
Archives of physiology and biochemistry,683
"Arthritis &amp; rheumatology (Hoboken, N.J.)",1504
Arthritis research &amp; therapy,2369
Atherosclerosis,2459
Basic research in cardiology,828
"BioFactors (Oxford, England)",639
Biology of blood and marrow transplantation : journal of the American Society for Blood and Marrow Transplantation,712
Blood cancer journal,457
Bone &amp; joint research,485
Bone marrow transplantation,550
Brain : a journal of neurology,2839
British journal of cancer,2909
British journal of pharmacology,3868
Cancer,1239
Cancer cell,1504
"Cancer communications (London, England)",192
Cancer discovery,1156
Cancer gene therapy,1126
Cancer immunology research,1283
"Cancer immunology, immunotherapy : CII",2241
Cancer research,7344
Cancer science,3506
Cardiovascular diabetology,1439
Cell metabolism,1923
Cellular &amp; molecular immunology,863
"Chromosome research : an international journal on the molecular, supramolecular and evolutionary aspects of chromosome biology",164
Chronobiology international,905
Circulation,2372
Circulation research,2180
Circulation. Arrhythmia and electrophysiology,625
Circulation. Cardiovascular imaging,517
Circulation. Cardiovascular interventions,450
Circulation. Cardiovascular quality and outcomes,265
Circulation. Genomic and precision medicine,183
Clinical &amp; translational immunology,437
Clinical and experimental pharmacology &amp; physiology,1480
Clinical and translational medicine,960
Clinical cancer research : an official journal of the American Association for Cancer Research,5767
Clinical epigenetics,1198
Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,2207
Clinical physiology and functional imaging,340
Clinical research in cardiology : official journal of the German Cardiac Society,663
"Comparative biochemistry and physiology. Part A, Molecular &amp; integrative physiology",1802
Conservation physiology,599
Diabetes,3443
Diabetes &amp; metabolism journal,292
Diabetes care,1216
Diabetes research and clinical practice,1051
Diabetes technology &amp; therapeutics,492
"Diabetes, obesity &amp; metabolism",1360
Diabetes/metabolism research and reviews,427
Diabetologia,1981
Endocrinology,4563
EuroIntervention : journal of EuroPCR in collaboration with the Working Group on Interventional Cardiology of the European Society of Cardiology,571
"Europace : European pacing, arrhythmias, and cardiac electrophysiology : journal of the working groups on cardiac pacing, arrhythmias, and cardiac cellular electrophysiology of the European Society of Cardiology",854
European journal of applied physiology,2433
"European journal of cancer (Oxford, England : 1990)",1188
European journal of cardiovascular nursing,86
European journal of endocrinology,1002
European journal of heart failure,711
European journal of preventive cardiology,490
European urology,360
European urology oncology,115
Experimental physiology,1629
Free radical biology &amp; medicine,5181
Frontiers in cardiovascular medicine,3207
Frontiers in endocrinology,5265
Frontiers in immunology,23985
Frontiers in physiology,8143
Gastric cancer : official journal of the International Gastric Cancer Association and the Japanese Gastric Cancer Association,459
