journal,JCR Abbreviation,JID,field,Policy,unique_year_count,year_list
Acta neuropathologica,ACTA NEUROPATHOL,117.0,NEUROSCIENCES,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Acta pharmacologica Sinica,ACTA PHARMACOL SIN,160.0,PHARMACOLOGY & PHARMACY,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
"Acta physiologica (Oxford, England)",ACTA PHYSIOL,165.0,PHYSIOLOGY - SCIE,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Alimentary pharmacology &amp; therapeutics,ALIMENT PHARM THER,159.0,PHARMACOLOGY & PHARMACY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
"American journal of cardiovascular drugs : drugs, devices, and other interventions",AM J CARDIOVASC DRUG,30.0,CARDIAC & CARDIOVASCULAR SYSTEMS ,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
American journal of human genetics,AM J HUM GENET,75.0,GENETICS & HEREDITY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
American journal of physiology. Cell physiology,AM J PHYSIOL-CELL PH,178.0,PHYSIOLOGY - SCIE,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
American journal of physiology. Endocrinology and metabolism,AM J PHYSIOL-ENDOC M,175.0,PHYSIOLOGY - SCIE,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
American journal of physiology. Gastrointestinal and liver physiology,AM J PHYSIOL-GASTR L,181.0,PHYSIOLOGY - SCIE,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
American journal of physiology. Heart and circulatory physiology,AM J PHYSIOL-HEART C,172.0,PHYSIOLOGY - SCIE,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
American journal of physiology. Lung cellular and molecular physiology,AM J PHYSIOL-LUNG C,163.0,PHYSIOLOGY - SCIE,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
"American journal of physiology. Regulatory, integrative and comparative physiology",AM J PHYSIOL-REG I,184.0,PHYSIOLOGY - SCIE,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
American journal of physiology. Renal physiology,AM J PHYSIOL-RENAL,190.0,PHYSIOLOGY - SCIE,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Annals of neurology,ANN NEUROL,122.0,NEUROSCIENCES,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Annals of oncology : official journal of the European Society for Medical Oncology,ANN ONCOL,126.0,ONCOLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Antioxidants &amp; redox signaling,ANTIOXID REDOX SIGN,49.0,ENDOCRINOLOGY & METABOLISM,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Archives of physiology and biochemistry,ARCH PHYSIOL BIOCHEM,170.0,PHYSIOLOGY - SCIE,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
"Arthritis &amp; rheumatology (Hoboken, N.J.)",ARTHRITIS RHEUMATOL,202.0,RHEUMATOLOGY,1.0,12,"2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Arthritis research &amp; therapy,ARTHRITIS RES THER,206.0,RHEUMATOLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Atherosclerosis,ATHEROSCLEROSIS,33.0,CARDIAC & CARDIOVASCULAR SYSTEMS ,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Basic research in cardiology,BASIC RES CARDIOL,5.0,CARDIAC & CARDIOVASCULAR SYSTEMS ,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
"BioFactors (Oxford, England)",BIOFACTORS,57.0,ENDOCRINOLOGY & METABOLISM,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Biology of blood and marrow transplantation : journal of the American Society for Blood and Marrow Transplantation,BIOL BLOOD MARROW TR,114.0,IMMUNOLOGY,0.0,11,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
