journal,JCR Abbreviation,JID,essn,eissn,field,Policy,unique_year_count,year_list
Acta neuropathologica,ACTA NEUROPATHOL,117.0,1432-0533,1432-0533,NEUROSCIENCES,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Acta pharmacologica Sinica,ACTA PHARMACOL SIN,160.0,1745-7254,1745-7254,PHARMACOLOGY & PHARMACY,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
"Acta physiologica (Oxford, England)",ACTA PHYSIOL,165.0,1748-1716,1748-1716,PHYSIOLOGY - SCIE,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Alimentary pharmacology &amp; therapeutics,ALIMENT PHARM THER,159.0,1365-2036,1365-2036,PHARMACOLOGY & PHARMACY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
"American journal of cardiovascular drugs : drugs, devices, and other interventions",AM J CARDIOVASC DRUG,30.0,1179-187X,1179-187X,CARDIAC & CARDIOVASCULAR SYSTEMS ,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
American journal of human genetics,AM J HUM GENET,75.0,1537-6605,1537-6605,GENETICS & HEREDITY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
American journal of physiology. Cell physiology,AM J PHYSIOL-CELL PH,178.0,1522-1563,1522-1563,PHYSIOLOGY - SCIE,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
American journal of physiology. Endocrinology and metabolism,AM J PHYSIOL-ENDOC M,175.0,1522-1555,1522-1555,PHYSIOLOGY - SCIE,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
American journal of physiology. Gastrointestinal and liver physiology,AM J PHYSIOL-GASTR L,181.0,1522-1547,1522-1547,PHYSIOLOGY - SCIE,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
American journal of physiology. Heart and circulatory physiology,AM J PHYSIOL-HEART C,172.0,1522-1539,1522-1539,PHYSIOLOGY - SCIE,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
American journal of physiology. Lung cellular and molecular physiology,AM J PHYSIOL-LUNG C,163.0,1522-1504,1522-1504,PHYSIOLOGY - SCIE,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
"American journal of physiology. Regulatory, integrative and comparative physiology",AM J PHYSIOL-REG I,184.0,1522-1490,1522-1490,PHYSIOLOGY - SCIE,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
American journal of physiology. Renal physiology,AM J PHYSIOL-RENAL,190.0,1522-1466,1522-1466,PHYSIOLOGY - SCIE,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Annals of neurology,ANN NEUROL,122.0,1531-8249,1531-8249,NEUROSCIENCES,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Annals of oncology : official journal of the European Society for Medical Oncology,ANN ONCOL,126.0,1569-8041,1569-8041,ONCOLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Antioxidants &amp; redox signaling,ANTIOXID REDOX SIGN,49.0,1557-7716,1557-7716,ENDOCRINOLOGY & METABOLISM,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Archives of physiology and biochemistry,ARCH PHYSIOL BIOCHEM,170.0,1744-4160,1744-4160,PHYSIOLOGY - SCIE,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
