journal,year,n_bar_cont,n_informative,n_bar_or_informative,policy,policy_year,JCR Abbreviation,Publisher,All_Fields
Acta neuropathologica,2010.0,29,14,38,0.0,,ACTA NEUROPATHOL,SPRINGER,CLINICAL NEUROLOGY; NEUROSCIENCES; PATHOLOGY
Acta neuropathologica,2011.0,40,24,53,0.0,,ACTA NEUROPATHOL,SPRINGER,CLINICAL NEUROLOGY; NEUROSCIENCES; PATHOLOGY
Acta neuropathologica,2012.0,51,34,67,0.0,,ACTA NEUROPATHOL,SPRINGER,CLINICAL NEUROLOGY; NEUROSCIENCES; PATHOLOGY
Acta neuropathologica,2013.0,55,32,70,0.0,,ACTA NEUROPATHOL,SPRINGER,CLINICAL NEUROLOGY; NEUROSCIENCES; PATHOLOGY
Acta neuropathologica,2014.0,40,23,50,0.0,,ACTA NEUROPATHOL,SPRINGER,CLINICAL NEUROLOGY; NEUROSCIENCES; PATHOLOGY
Acta neuropathologica,2015.0,49,41,69,0.0,,ACTA NEUROPATHOL,SPRINGER,CLINICAL NEUROLOGY; NEUROSCIENCES; PATHOLOGY
Acta neuropathologica,2016.0,49,32,59,0.0,,ACTA NEUROPATHOL,SPRINGER,CLINICAL NEUROLOGY; NEUROSCIENCES; PATHOLOGY
Acta neuropathologica,2017.0,47,42,65,0.0,,ACTA NEUROPATHOL,SPRINGER,CLINICAL NEUROLOGY; NEUROSCIENCES; PATHOLOGY
Acta neuropathologica,2018.0,41,50,66,0.0,,ACTA NEUROPATHOL,SPRINGER,CLINICAL NEUROLOGY; NEUROSCIENCES; PATHOLOGY
Acta neuropathologica,2019.0,41,56,69,0.0,,ACTA NEUROPATHOL,SPRINGER,CLINICAL NEUROLOGY; NEUROSCIENCES; PATHOLOGY
Acta neuropathologica,2020.0,32,58,68,0.0,,ACTA NEUROPATHOL,SPRINGER,CLINICAL NEUROLOGY; NEUROSCIENCES; PATHOLOGY
Acta neuropathologica,2021.0,31,67,73,0.0,,ACTA NEUROPATHOL,SPRINGER,CLINICAL NEUROLOGY; NEUROSCIENCES; PATHOLOGY
Acta neuropathologica,2022.0,24,61,65,0.0,,ACTA NEUROPATHOL,SPRINGER,CLINICAL NEUROLOGY; NEUROSCIENCES; PATHOLOGY
Acta neuropathologica,2023.0,25,64,68,0.0,,ACTA NEUROPATHOL,SPRINGER,CLINICAL NEUROLOGY; NEUROSCIENCES; PATHOLOGY
