journal,year,n_bar_cont,n_informative,n_bar_or_informative,policy,policy_year,JCR Abbreviation,Publisher,All_Fields
Acta pharmacologica Sinica,2010.0,139,27,141,1.0,2013,ACTA PHARMACOL SIN,NATURE PUBL GROUP,"CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY"
Acta pharmacologica Sinica,2011.0,123,17,125,1.0,2013,ACTA PHARMACOL SIN,NATURE PUBL GROUP,"CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY"
Acta pharmacologica Sinica,2012.0,113,22,123,1.0,2013,ACTA PHARMACOL SIN,NATURE PUBL GROUP,"CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY"
Acta pharmacologica Sinica,2013.0,119,29,124,1.0,2013,ACTA PHARMACOL SIN,NATURE PUBL GROUP,"CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY"
Acta pharmacologica Sinica,2014.0,132,23,133,1.0,2013,ACTA PHARMACOL SIN,NATURE PUBL GROUP,"CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY"
Acta pharmacologica Sinica,2015.0,89,22,95,1.0,2013,ACTA PHARMACOL SIN,NATURE PUBL GROUP,"CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY"
Acta pharmacologica Sinica,2016.0,119,34,124,1.0,2013,ACTA PHARMACOL SIN,NATURE PUBL GROUP,"CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY"
Acta pharmacologica Sinica,2017.0,111,28,113,1.0,2013,ACTA PHARMACOL SIN,NATURE PUBL GROUP,"CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY"
Acta pharmacologica Sinica,2018.0,122,37,130,1.0,2013,ACTA PHARMACOL SIN,NATURE PUBL GROUP,"CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY"
Acta pharmacologica Sinica,2019.0,127,51,133,1.0,2013,ACTA PHARMACOL SIN,NATURE PUBL GROUP,"CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY"
